"date","day_of_week","month","year","open","close","high","low"
"03/10/2007","Wednesday","October",2007,62021,60099,62021,60094
"04/10/2007","Thursday","October",2007,60102,60407,61080,59536
"05/10/2007","Friday","October",2007,60408,62319,62704,60408
"08/10/2007","Monday","October",2007,62319,62661,62725,61841
"09/10/2007","Tuesday","October",2007,62661,63549,63658,62661
"10/10/2007","Wednesday","October",2007,63550,63197,63565,62894
"11/10/2007","Thursday","October",2007,63197,62456,64169,61487
"15/10/2007","Monday","October",2007,62456,62969,63841,62412
"16/10/2007","Tuesday","October",2007,62965,61718,62965,61565
"17/10/2007","Wednesday","October",2007,61720,63194,63194,61460
"18/10/2007","Thursday","October",2007,63192,63261,63322,61943
"19/10/2007","Friday","October",2007,63270,60894,63349,60883
"22/10/2007","Monday","October",2007,60884,61215,61379,59473
"23/10/2007","Tuesday","October",2007,61214,62697,62773,61214
"24/10/2007","Wednesday","October",2007,62693,62625,62816,61448
"25/10/2007","Thursday","October",2007,62628,62341,63206,61968
"26/10/2007","Friday","October",2007,62346,64276,64320,62346
"29/10/2007","Monday","October",2007,64275,65044,65670,64275
"30/10/2007","Tuesday","October",2007,65044,64383,65147,64264
"31/10/2007","Wednesday","October",2007,64385,65318,65949,64385
"01/11/2007","Thursday","November",2007,65317,64050,65317,63774
"05/11/2007","Monday","November",2007,64049,62960,64049,62720
"06/11/2007","Tuesday","November",2007,62967,64503,64524,62967
"07/11/2007","Wednesday","November",2007,64503,63501,64603,63223
"08/11/2007","Thursday","November",2007,63503,63562,65283,63140
"09/11/2007","Friday","November",2007,63571,64321,65281,62279
"12/11/2007","Monday","November",2007,64321,61527,64321,61452
"13/11/2007","Tuesday","November",2007,61526,62927,62933,61034
"14/11/2007","Wednesday","November",2007,62919,64631,64896,62919
"16/11/2007","Friday","November",2007,64634,64609,64802,63627
"19/11/2007","Monday","November",2007,64609,62336,64609,62321
"21/11/2007","Wednesday","November",2007,62335,60582,62335,59847
